id,source,tier,program,result,season,gpa,gpa_scale,gre_quant,gre_verbal,toefl,undergrad_school,undergrad_tier,undergrad_country,major,major_relevance,intern_count,intern_level,intern_relevance,has_paper,has_research,research_level,gender,nationality,raw_text
b820c7076f55,1p3a-offer,D,cmu-mscf,accepted,2025 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF AD无奖 2025 Fall 2025-04-11 0 自费AD
cdedd580244b,1p3a-offer,D,cmu-mscf,accepted,2024 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF AD无奖 2024 Fall 2024-03-09 2023-11-15 邮件 0
6f6104eff846,1p3a-offer,D,cmu-mscf,rejected,2024 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF Reject 2024 Fall 2024-02-29 2023-12-02 网申 0
7815abaea0c6,1p3a-offer,D,cmu-mscf,accepted,2023 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF AD无奖 2023 Fall 2023-05-01 2023-03-05 网申 0
39ea1605d3c1,1p3a-offer,D,cmu-mscf,rejected,2023 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MS in Computational Finance Reject 2023 Fall 2023-03-01 2022-12-15 网申 0
8fc840ebe8b5,1p3a-offer,D,cmu-mscf,accepted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF AD无奖 2022 Fall 2022-05-02 2021-12-10 邮件 0
96dc136f07b2,1p3a-offer,D,cmu-mscf,waitlisted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MS in Computational Finance Waiting 2022 Fall 2022-05-03 2022-03-06 网申 0
4fd082e07520,1p3a-offer,D,cmu-mscf,rejected,2022 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF Reject 2022 Fall 2022-03-04 2021-12-01 网申 0
2a6c5f5d67d5,1p3a-offer,D,cmu-mscf,accepted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF AD小奖 2022 Fall 2022-03-03 2021-12-01 邮件 0
f20faa171363,1p3a-offer,D,cmu-mscf,rejected,2021 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MS in Computational Finance Reject 2021 Fall 2021-05-05 2021-03-15 网申 0
